# COLUMN GUIDE: n=number, year=publication year, month=publication month abbrev e.g. Jan (optional; shown before year when present), type=[original|review|case|letter], tags=authorship roles semicolon-separated [first|co-first|last|corresponding], cat=category keys semicolon-separated (see TAXONOMY in build/utils.py), title=full title, authors=full author list, journal=journal name, url=DOI or full URL, keywords=free-text hashtags semicolon-separated for search, highlight_topics=category keys where this article is featured (floats to top), featured=[yes|no] always-show gold star
n,year,month,type,tags,cat,title,authors,journal,url,keywords,highlight_topics,featured
25,2024,Aug,original,,gi;oncology;pubhealth,Analyzing Quality of Life After Low Anterior Resection for Rectal Cancer,"Meshkati Yazd SM, Shahriarirad R, Almasi S, Mirmohammadkhani M, Keramati MR*",Irish Journal of Medical Science,https://link.springer.com/article/10.1007/s11845-024-03757-8,Quality of life;Gastrointestinal surgery;Surgical oncology;Public health;Colorectal surgery;Quality,gi;oncology,
26,2024,Jul,original,first;corresponding,gi,Evaluation of Salvia Officinalis (Sage) in the Treatment of Acetic Acid-Induced Ulcerative Colitis in Rat Model,"Shahriarirad R*, Seifbehzad S, Erfani A, Nekouei F, Ashkani-Esfahani S, Hosseinzadeh M, Tanideh N, Koohi-Hosseinabadi O, Sarkari B",Journal of Coloproctology,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0044-1787141,Complementary medicine;Herbal medicine;Supplement;Regenerative medicine;Translational research;Gastrointestinal surgery,gi,
27,2024,Jul,original,co-first;corresponding,infectious;pubhealth;education,"Knowledge, Attitude, and Practice toward the Novel Coronavirus (COVID-19) Outbreak: A Population-Based Survey in Iran","Erfani A, Shahriarirad R*, Ranjbar K, Mirahmadizadeh A, Moghadami M",Journal of Health Sciences & Surveillance System,https://journals.sums.ac.ir/article_49437.html,Knowledge attitudes practice;Infectious disease;Public health;Medical education;COVID-19,infectious;pubhealth,
28,2024,Jun,original,,endocrine,Comparison of Endoscopic Versus Focused Parathyroidectomy in Surgical Management of Single-gland Primary Hyperparathyroidism: A Randomized Clinical Trial,"Meshkati Yazd SM, Shahriarirad R, Nayebi S, Dehghan P, Abbasi A, Maghsoodloo F, Hamedani K, Nasiri S*",Langenbeck's Archives of Surgery,https://link.springer.com/article/10.1007/s00423-024-03390-0,Minimally invasive surgery;Endocrine surgery;Thyroid;Randomized trial,endocrine,yes
29,2024,Jun,original,last;corresponding,thoracic,Single-Stage Bronchoscopy-Guided Protocol for Tracheostomy Decannulation in Adult Patients,"Mardani P, Naseri R*, Mahram H, Alishavandi F, Amirian A, Ziaian B, Shahriarirad R*",Journal of Surgical Research,https://pubmed.ncbi.nlm.nih.gov/38905767/,Thoracic surgery,thoracic,
30,2024,Jun,original,corresponding,infectious;urology,Prevalence and Risk Factors of Latent Tuberculosis Infection in Hemodialysis Patients in Southwest Iran,"Rahimi M, Forouzani F, Mousavizadeh A, Shahriarirad R, Ardekani A, Foolad S, Nikbakht G*",Epidemiological Review (Przegląd Epidemiologiczny),"https://www.przeglepidemiol.pzh.gov.pl/Prevalence-and-risk-factors-of-latent-tuberculosis-infection-in-hemodialysis-patients,187271,0,2.html",Infectious disease;Urology;Tuberculosis,infectious;urology,
31,2024,Jun,original,corresponding,infectious;pulm,Evaluation of the Predictors and Frequency of Silent Hypoxemia in COVID-19 Patients and the Gap between Pulse Oximeter and Arterial Blood Gas Levels,"Fallahi MJ, Pezeshkian F, Ranjbar K, Javaheri R, Shahriarirad R*",Health Care Science,http://doi.org/10.1002/hcs2.98,Infectious disease;Pulmonology;COVID-19,infectious;pulm,
32,2024,May,original,,transplant,"Comparison of the Effect of Everolimus, Prednisolone, and a Combination of Both on Experimentally Induced Peritoneal Adhesions in Rats","Kazemi K, Jamshidi K, Naseri R, Shahriarirad R, Shamsaeefar A, Hosseinzadeh A*",Scientific Reports,https://www.nature.com/articles/s41598-024-61620-3,Animal model;Transplant surgery,transplant,
33,2024,May,original,,neuro;plastic,An Overcorrective Modification of Cranial Vault Reconstruction for Non-Syndromic Metopic Suture Synostosis: Shiraz Technique,"Masoudi MS, Zoghi S, Ansari A, Taherpour S, Shahriarirad R, Taheri R*",Archives of Pediatric Neurosurgery,https://www.archpedneurosurg.com.br/sbnped2019/article/view/231,Neurosurgery;Pediatric surgery;Neurology;Plastic surgery,neuro;plastic,
34,2024,Apr,original,,plastic,Posterior Positioning of Levator Veli Palatini with Intact Nasal Layer and Side-by-Side Bilateral Buccinator Flaps: Modified Approach for Palatal Lengthening,"Hoghooghi MA, Hooman K, Shahriarirad R, Salimi M, Hosseinpour H*",The Cleft Palate Craniofacial Journal,https://journals.sagepub.com/eprint/HTIUBXYFD4X7J7NHXWPW/full,Pediatric surgery;Plastic surgery,plastic,
35,2024,May,original,corresponding,vascular,Analysis of a Large 19-Year Database in Vascular Surgery in Southern Iran: Evaluation of Trends and Limitations,"Ghoddusi Johari H, Farrokhi A, Shahriarirad R*, Hosseinzadeh A, Hodjati H",Annals of Vascular Surgery,https://authors.elsevier.com/a/1idol3AUdjphyC,Vascular surgery,vascular,
36,2024,Apr,original,corresponding,endocrine,"Demographic, Clinical, and Surgical Features of Patients Undergoing Thyroidectomy due to Thyroid Lesions in Southern Iran","Mardani P, Koulaian S, Fouladi D, Malekhosseini HR, Shahriarirad R*",Health Science Reports,https://onlinelibrary.wiley.com/doi/10.1002/hsr2.2012,Endocrine surgery;Thyroid,endocrine,
