# COLUMN GUIDE: n=number, year=publication year, month=publication month abbrev e.g. Jan (optional; shown before year when present), type=[original|review|case|letter], tags=authorship roles semicolon-separated [first|co-first|last|corresponding], cat=category keys semicolon-separated (see TAXONOMY in build/utils.py), title=full title, authors=full author list, journal=journal name, url=DOI or full URL, keywords=free-text hashtags semicolon-separated for search, highlight_topics=category keys where this article is featured (floats to top), featured=[yes|no] always-show gold star
n,year,month,type,tags,cat,title,authors,journal,url,keywords,highlight_topics,featured
131,2020,Mar,original,,infectious;pubhealth,"Seroprevalence of Toxocariasis and Its Related Risk Factors among Municipal Street Sweepers in Shiraz District in Fars Province, Southern Iran","Erfani A, Pouryousef A, Arefkhah N, Shahriarirad R, Rastegarian M, Zeighami A, Sarkari B*",Clinical Epidemiology and Global Health,https://www.sciencedirect.com/science/article/abs/pii/S2213398420300038,Translational research;Infectious disease;Public health,infectious;pubhealth,
132,2020,Mar,original,last,vascular;transplant,Inferior Vena Cava Repair Using Diaphragm in Animal Model,"Hodjati H, Hosseinzadeh A, Farzaneh BA*, Ghoddusi Johari H, Ebrahimi N, Anbardar MH, Shahriarirad R",Annals of Vascular Surgery,https://www.sciencedirect.com/science/article/abs/pii/S0890509620301928,Animal model;Surgical technique;Vascular surgery;Transplant surgery,vascular;transplant,yes
133,2019,Apr,original,,infectious,Seroepidemiological Study of Cystic Echinococcosis in Nomadic Communities in the Southwest of Iran: A Population-based Study,"Moshfe A, Sarkari B, Arefkhah N, Nikbakht R, Shahriarirad R, Rezaei Z, Hosseini Z",Journal of Immunoassay and Immunochemistry,https://www.tandfonline.com/doi/abs/10.1080/15321819.2018.1547974,Translational research;Infectious disease,infectious,
134,2019,Apr,original,,infectious,Attenuated Leishmania major Induce a High Level of Protection against Leishmania infantum in BALB/c Mice,"Ghadimi SN, Homayoon L, Shahriarirad R, Fatehpour S, Rastegarian M, Sarkari B*",Iranian Journal of Parasitology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6737356/,Translational research;Infectious disease,infectious,
135,2017,Mar,original,co-first,infectious;pubhealth,"Seroepidemiological Survey of Toxoplasmosis among Female University Students in Shiraz, Southern Iran","Taghizadeh H, Shahriarirad R, Erfani A, Nekouei F, Seifbehzad S, Khabisi SA, Sarkari B",Annals of Tropical Medicine and Public Health,,Translational research;Infectious disease;Public health,infectious;pubhealth,
136,2017,Jan,original,,infectious,Effect of Hydroalcoholic Extract of Echinacea purpurea in Combination with Meglumine Antimoniate on Treatment of Leishmania major-Induced Cutaneous Leishmaniasis in BALB/c Mice,"Sarkari B, Mohseni M, Moein MR, Shahriarirad R, Asgari Q*",International Journal of Applied and Basic Medical Research,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5327608/,Animal model;Complementary medicine;Herbal medicine;Infectious disease,infectious,
137,2016,Jan,original,,infectious,Effect of Topical Gel Prepared with Hydroalcoholic Extract of Echinacea purpurea on Treatment of Leishmania major-Induced Cutaneous Leishmaniasis in BALB/C Mice,"Sarkari B, Sattari H, Moein MR, Tamadon AM, Shahriarirad R, Asgari Q*",Journal of Pharmaceutical Negative Results,http://www.pnrjournal.com/index.php?mno=133709,Animal model;Complementary medicine;Herbal medicine;Infectious disease,infectious,
138,2015,Oct,original,,infectious;pubhealth,"Population-based Seroprevalence of Malaria in Hormozgan Province, Southeastern Iran: A Low Transmission Area","Hatam GR, Nejati F, Mohammadzadeh T, Shahriarirad R, Sarkari B*",Malaria Research and Treatment,https://downloads.hindawi.com/archive/2015/174570.pdf,Infectious disease;Public health,infectious;pubhealth,
139,2024,Oct,case,corresponding;last,vascular;gi,Vascular Complications During Appendectomy; Severe Adhesion of the Appendix to the Right Iliac Artery: A Case Report,"Hosseinzadeh A, Rezaeibana H, Khosravi MR, Sourani A, Yazdanshenas H, Shahriarirad R*",Journal of Medical Case Reports,https://link.springer.com/article/10.1186/s13256-024-04794-8,Vascular surgery;Gastrointestinal surgery;Case report,vascular;gi,
140,2024,Sep,case,co-first,vascular,An Unsuspected Extracranial Internal Carotid Pseudoaneurysm Following Dog Bites: A Case Report and Review of Literature,"Hosseinzadeh A, Shahriarirad R, Dalfardi F, Arianpour H, Zarimeidani F*",International Journal of Emergency Medicine,https://link.springer.com/article/10.1186/s12245-024-00688-0,Vascular surgery;Case report;Aneurysm,vascular,
141,2024,Jul,case,last,infectious;neuro,Chronic Inflammatory Demyelinating Polyneuropathy following COVID-19 Vaccination: A Case Report and Literature Review,"Bahramy MA, Hashempour Z*, Shahriarirad R",BMC Neurology,https://bmcneurol.biomedcentral.com/articles/10.1186/s12883-024-03756-3,Infectious disease;Neurology;Case report;COVID-19,infectious;neuro,
142,2024,May,case,,thoracic;transplant;pulm,Successful Bilateral Lung Transplantation in Pulmonary Alveolar Microlithiasis: A Case Report and Review of Literature,"Mardani P, Naseri R, Shahriarirad R, Mahram H*, Shafi M, Dehghanian A, Ziaian B",The Clinical Respiratory Journal,http://doi.org/10.1111/crj.13773,Thoracic surgery;Transplant surgery;Pulmonology;Case report;Lung cancer,thoracic;transplant,
143,2024,Mar,case,co-first,thoracic;oncology;pulm,Pleural Epithelioid Hemangioendothelioma in a 39-Year-Old Female: A Case Report,"Mardani P, Shahriarirad R, Nekooeian M, Anbardar MH, Ziaian B, Kamran H, Ayare N, Vafabin M, Fouladi D*",Journal of Cardiothoracic Surgery,http://dx.doi.org/10.1186/s13019-024-02602-4,Thoracic surgery;Surgical oncology;Pulmonology;Case report,thoracic;oncology,
144,2024,Jan,case,,urology,Nephrotic Syndrome due to Focal Segmental Glomerulosclerosis Complicating Scleroderma: A Case Report,"Mehdipour Dalivand M, Hadjiabbasi A, Ramezanzadeh E, Habibzadeh SM, Goudarzi K, Shahriarirad R, Zayeni H*",Journal of Medical Case Reports,https://jmedicalcasereports.biomedcentral.com/articles/10.1186/s13256-023-04273-6,Rheumatology;Urology;Case report,urology,
145,2023,Dec,case,corresponding;last,vascular,Aortoduodenal Fistula and Abdominal Aortic Aneurysm as a Complication of Brucella Aortitis managed with In Situ Aortic Aneurysm Repair: A Case Report,"Hosseinzadeh A, Zehra J, Davarpanah MA, Moeini Farsani M, Ghasemi Gorji M, Shahriarirad R*",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/10.1002/ccr3.8269,Vascular surgery;Case report;Aneurysm,vascular,
146,2023,Dec,case,last,gi,Primary Abdominal Cocoon Syndrome Manifesting with Chilaiditi Syndrome and Intestinal Obstruction: A Case Report,"Tajaddini A, Fallahi MM*, Haghshenas H, Nourmohammadi SS, Ghahramani L, Shahriarirad R",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/10.1002/ccr3.8363,Gastrointestinal surgery;Case report,gi,
147,2023,Nov,case,corresponding;last,transplant,Nonoperative Management of Biliopleural Fistula following Living-Donor Liver Transplantation: A Case Report,"Kazemi K, Rasekhi A, Sohrabi Nazari S, Lashkarizadeh MM, Shamsaeefar A, Alikhani M, Akbari A, Shahriarirad R*",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/10.1002/ccr3.8210,Transplant surgery;Case report,transplant,
148,2023,Oct,case,corresponding,thoracic;oncology,A Massive Immature Mediastinal Teratoma Treated with Chemotherapy and Surgical Resection: A Case Report,"Mardani P, Kamran H, Ghaderpanah R, Geramizadeh B, Fouladi D, Shahriarirad R*, Amirian A",Journal of Cardiothoracic Surgery,https://cardiothoracicsurgery.biomedcentral.com/articles/10.1186/s13019-023-02389-w,Thoracic surgery;Surgical oncology;Case report,thoracic;oncology,
149,2023,Sep,case,corresponding,thoracic;oncology,Surgical Removal of an Unusual Huge Solitary Fibrous Tumor in the Mediastinum: A Case Report,"Mardani P, Nekooeian M, Zangeneh S, Kamran H, Shahriarirad R*, Anbardar MH, Amirian A, Vafabin M",Journal of Cardiothoracic Surgery,https://cardiothoracicsurgery.biomedcentral.com/articles/10.1186/s13019-023-02366-3,Thoracic surgery;Surgical oncology;Case report,thoracic;oncology,
150,2023,Jun,case,corresponding,thoracic,Bronchobiliary Fistulae as a Complication of Untreated Pulmonary Hydatid Cyst Presenting with Bilioptysis: A Report of Two Cases,"Mardani P, Kamran H, Khosravi F, Shahriarirad R*, Amirian A, Ziaian B",Clinical Case Reports,http://doi.org/10.1002/ccr3.7524,Thoracic surgery;Case report;Hydatid disease,thoracic,
151,2023,Jun,case,last,derm,"Coexistence of Mucinous Nevus and Multiple Collagenoma with Unilateral, Dermatomal, and Multi Segmental Distribution","Faghihi G, Moeine R, Mohaghegh F*, Rajabi P, Shahriarirad R",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/full/10.1002/ccr3.7429,Dermatology;Case report,derm,
152,2023,May,case,last,derm,Granuloma Annulare with Alopecia Areata in a 6-Years-Old Girl: A Case Report,"Mohaghegh F*, Moeine R, Saber M, Fatemeh S, Nekooeian M, Shahriarirad R",Journal of Medical Case Reports,https://jmedicalcasereports.biomedcentral.com/articles/10.1186/s13256-023-03864-7,Dermatology;Case report,derm,
153,2023,Apr,case,,neuro,Atypical Presentation of Amyloidosis in a Female Patient with Muscle Weakness,"Lashkari R, Loghman M, Aghaghazvini L, Saffar H, Ziaadini B, Shahriarirad R, Rahmanian E, Alikhani M*",Case Reports in Medicine,https://www.hindawi.com/journals/crim/2023/1553163/,Rheumatology;Neurology;Case report,neuro,
154,2023,Feb,case,co-first,oncology;pulm,Extramedullary Relapse of Immunoglobulin A-Kappa Myeloma Manifesting as Plasmacytoma of the Pleura without Bone Marrow Involvement and Following Autologous Bone Marrow Transplant: A Case Report,"Rezvani A, Shahriarirad R, Fallahi MJ, Zeighami A*",Journal of Medical Case Reports,https://jmedicalcasereports.biomedcentral.com/articles/10.1186/s13256-023-03765-9,Surgical oncology;Pulmonology;Case report,oncology;pulm,
155,2023,Jan,case,corresponding;last,thoracic,Cavernous Mediastinal Hemangioma Presenting with Persistent Cough: A Rare Case Report and Review of Literature,"Mardani P, Kamran H, Geramizadeh B, Darabi MH, Najafi M, Amirian A, Shahriarirad R*",Journal of Cardiothoracic Surgery,https://cardiothoracicsurgery.biomedcentral.com/articles/10.1186/s13019-023-02130-7,Thoracic surgery;Case report,thoracic,
156,2022,Dec,case,,infectious,Necrotizing Autoimmune Myositis following Coronavirus Disease 2019 Infection: A Case Report,"Loghman M, Rahmanian E, Alikhani M, Saffar H, Ziaadini B, Shahriarirad R, Faezi ST*",Journal of Medical Case Reports,https://jmedicalcasereports.biomedcentral.com/articles/10.1186/s13256-022-03680-5,Infectious disease;Case report,infectious,
157,2022,Dec,case,corresponding,vascular;infectious,Lower Limb Lymphedema and Cellulitis as a Complication of COVID-19 Vaccine: A Case Report,"Hosseinzadeh A, Ebrahimi K, Shahriarirad R*, Dalfardi F",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/10.1002/ccr3.6317,Vascular surgery;Infectious disease;Case report;COVID-19,vascular;infectious,
158,2022,Dec,case,,infectious,COVID-19 Vaccine-Induced Vasculitis in a Patient with Sarcoidosis: A Case Report,"Rahmanian E, Alikhani M*, Loghman M, Beikmohamadi Hezaveh S, Zangeneh S, Shahriarirad R, Faezi ST, Nejadhosseinian M",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/10.1002/ccr3.6501,Rheumatology;Infectious disease;Case report;COVID-19,infectious,
159,2022,Nov,case,corresponding;last,vascular,Great Saphenous Vein Aneurysm Mimicking Inguinal Hernia: A Case Report,"Ghoddusi Johari H, Malekhosseini H, Erfani A, Shahriarirad R*",Journal of Medical Case Reports,https://jmedicalcasereports.biomedcentral.com/articles/10.1186/s13256-022-03655-6,Vascular surgery;Case report;Hernia;Aneurysm,vascular,
160,2022,Nov,case,last,oncology;gi,Adenocarcinoma Metastasis from Colon to the Thyroid: A Case Report,"Mardani P, Ayareh N, Kamran H, Shahriarirad R",Case Reports in Surgery,https://www.hindawi.com/journals/cris/2022/8705143/,Surgical oncology;Gastrointestinal surgery;Case report;Colorectal surgery;Thyroid,oncology;gi,
161,2022,Oct,case,corresponding;co-first,vascular;derm,Spontaneous Rupture of a Large Splenic Artery Aneurysm in a 59-year-old Male Patient with Pemphigus Vulgaris: A Case Report,"Hosseinzadeh A, Shahriarirad R*, Asgharzadeh Majdazar V, Moeini Farsani M, Tadayon SMK",Journal of Medical Case Reports,https://jmedicalcasereports.biomedcentral.com/articles/10.1186/s13256-022-03618-x,Vascular surgery;Dermatology;Case report;Aneurysm,vascular;derm,
162,2022,Oct,case,last,derm,Pemphigus Vegetans Misdiagnosed as Condyloma Acuminata: A Case Report,"Siadat AH, Moeine R*, Iraji F, Galehdari H, Shahriarirad R",Clinical Case Reports,http://dx.doi.org/10.1002/ccr3.6393,Dermatology;Case report,derm,
163,2022,Oct,case,last,plastic;derm;oncology,Treatment of Vulvar Basal Cell Carcinoma with Slow-Mohs Micrographic Surgery: A Case Report,"Asilian A, Moeine R*, Hafezi H, Shahriarirad R",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/10.1002/ccr3.6442,Plastic surgery;Dermatology;Surgical oncology;Case report,plastic;derm,
164,2022,Aug,case,corresponding;last,thoracic;infectious,Near-Complete Tracheal Obstruction Due to Mucormycosis: Report of Two Cases,"Fallahi MJ, Nikandish R, Ziaian B, Shahriarirad R*",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/full/10.1002/ccr3.6278,Thoracic surgery;Infectious disease;Case report,thoracic;infectious,
165,2022,Aug,case,corresponding;co-first,thoracic;oncology;pulm,Primary Malignant Epithelioid Hemangioendothelioma of the Pleura: A Review and Report of a Novel Case,"Rezvani A, Shahriarirad R*, Erfani A, Ranjbar K",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/10.1002/ccr3.6211,Thoracic surgery;Surgical oncology;Pulmonology;Case report,thoracic;oncology,yes
166,2022,Aug,case,corresponding,plastic;oncology,Subscapular Elastofibrolipoma Treated with Marginal Resection: A Report of Two Rare Cases,"Mardani P, Kamran H, Ayare N, Shahriarirad R*, Anbardar MH, Amirian A",Journal of Medical Case Reports,https://jmedicalcasereports.biomedcentral.com/articles/10.1186/s13256-022-03522-4,Plastic surgery;Surgical oncology;Case report,plastic;oncology,
167,2022,Jun,case,corresponding;last,gi,Gallbladder Agenesis without Additional Biliary Tracts Abnormality,"Meshkati Yazd SM, Bayati H, Nabavizadeh SS, Shahriarirad R*",Case Reports in Gastrointestinal Medicine,https://www.hindawi.com/journals/crigm/2022/3209658/,Gastrointestinal surgery;Case report,gi,
168,2022,Jun,case,corresponding;last,thoracic;oncology,Mediastinal Thymoma in A Patient with Previous Rectal and Breast Cancers: A Report of a Case with Multiple Primary Cancers and Review of Literature,"Mardani P, Fallahi MM, Kamran H, Shahriarirad R*",Clinical Case Reports,https://onlinelibrary.wiley.com/doi/10.1002/ccr3.5987,Thoracic surgery;Surgical oncology;Case report;Breast reconstruction;Colorectal surgery;Breast cancer,thoracic;oncology,
169,2022,May,case,,thoracic,Tracheal Myoepithelioma Resected by Using Rigid Bronchoscopy: A Case Report and Review of the Literature,"Mardani P, Ebrahimi K, Shahriarirad R, Geramizadeh B, Kamran H*, Ziaian B, Amirian A",Journal of Cardiothoracic Surgery,https://cardiothoracicsurgery.biomedcentral.com/articles/10.1186/s13019-022-01880-0,Thoracic surgery;Case report,thoracic,
170,2022,May,case,corresponding;last,vascular,Simultaneous Retrograde Venous and Anterograde Arterial Bullet Embolism: A Rare Case Report of Shotgun Pellet Embolism to the Heart and Popliteal Artery,"Hosseinzadeh A, Moeini Farsani M, Mahmoudi MM, Tadayon SMK, Ghoddusi Johari H, Shahriarirad R*",BMC Journal of Medical Case Reports,https://link.springer.com/article/10.1186/s13256-022-03414-7,Embolism;Vascular surgery;Case report,vascular,
171,2022,Mar,case,last,gi,Management of Drug-Induced Liver Injury with Persian Medicine: Case Report,"Jaladat AM, Zareifar S, Daneshfard B*, Shahriarirad R",Integrative Medicine Reports,https://www.liebertpub.com/doi/full/10.1089/imr.2021.0006,Complementary medicine;Gastrointestinal surgery;Case report,gi,
172,2022,Jan,case,,neuro,Antineutrophil Cytoplasmic Antibody-associated Vasculitis in Presence of Positive Antiphospholipid Antibody: A Case Report,"Akhlaghi Kalahroodi M, Loghman M, Ramezanpoor M, Shahriarirad R, Rahmanian E*",BMC Journal of Medical Case Reports,https://link.springer.com/article/10.1186/s13256-022-03256-3,Rheumatology;Neurology;Case report,neuro,
173,2022,Jan,case,,gi;oncology,A Large Undifferentiated Sarcoma of the Liver in a 13-year-old Girl Treated with Anatomical Resection: A Case Report and Review of the Literature,"Bahador A, Forooghi M, Shahriarirad R, Geramizadeh B, Ataollahi M, Kamran H*",BMC Gastroenterology,https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-021-02076-x,Pediatric surgery;Gastrointestinal surgery;Surgical oncology;Case report,gi;oncology,
174,2021,Nov,case,last,gi,Management of Asymptomatic Perforation of a Pediatric Rectal Foreign Body into the Peritoneal Cavity Retrieved with Laparoscopy: A Case Report,"Forooghi M, Hooman K*, Shahriarirad R",Case Reports in Medicine,https://www.hindawi.com/journals/crim/2021/5851967/,Minimally invasive surgery;Gastrointestinal surgery;Case report;Colorectal surgery,gi,
175,2021,Nov,case,,thoracic;infectious;pulm,Management of Pleural Empyema in a 12-year-old Obese Patient with COVID-19: A Pediatric Case Report,"Abbasi R, Javanmardi F*, Mokhtari A, Hosseinpour P, Shahriarirad R, Ebrahimi K",BMC Pediatrics,https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-021-03007-1,Pediatric surgery;Thoracic surgery;Infectious disease;Pulmonology;Case report;COVID-19,thoracic;infectious,
176,2021,Oct,case,,vascular;ortho,Profunda Brachii Pseudoaneurysm following Supracondylar Fracture of Humerus Repair in an 8-Year-Old Boy: A Case Report and Review of Literature,"Ghoddusi Johari H, Erfani MA, Erfani A*, Shahriarirad R, Karami MM",Case Reports in Orthopedics,https://www.hindawi.com/journals/crior/2021/1768529/,Vascular surgery;Orthopaedic surgery;Case report;Aneurysm,vascular;ortho,
177,2021,Oct,case,first,infectious,Multisystem Inflammatory Syndrome with Features of Atypical Kawasaki Disease during the COVID-19 Pandemic,"Shahriarirad R, Sanaei Dashti A*, Hajiani Ghotbabadi S",Case Reports in Pediatrics,https://www.hindawi.com/journals/cripe/2021/9950588/,Infectious disease;Case report;COVID-19,infectious,
178,2021,Jul,case,last,urology;neuro,ROHHAD Syndrome an Inconspicuous Cause of Hypernatremia: A Case Report,"Basiratnia M, Derakhshan D*, Foloudi D, Ranjbar K, Shahriarirad R",Iranian Journal of Kidney Diseases,,Urology;Neurology;Case report,urology;neuro,
179,2021,May,case,,pulm,"Successful Use of 'Ma'oljobon', a Persian Medicine Product, in a Patient with Severe Chronic Cough: A Case Report","Jaladat AM, Ranjbar K*, Shahriarirad R, Salehi Z",Advances in Integrative Medicine,https://www.sciencedirect.com/science/article/abs/pii/S2212958821000458,Complementary medicine;Pulmonology;Case report,pulm,
180,2021,Mar,case,co-first,thoracic,Non-operative Management of Bilateral Contained Thoracic Esophageal Perforation: A Case Report,"Amirian A, Shahriarirad R, Mardani P, Salimi M*",BMC Surgery,https://link.springer.com/article/10.1186/s12893-021-01121-6,Thoracic surgery;Case report,thoracic,
181,2021,Jan,case,corresponding;co-first,thoracic,Main Bronchus Penetration by Thoracostomy Tube: A Rare Inadvertent Complication,"Mardani P, Shahriarirad R*, Erfani A, Ranjbar K, Ziaian B, Amirian A, Kamran H",Bulletin of Emergency and Trauma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8062891/,Thoracic surgery;Case report,thoracic,
182,2020,Dec,case,,thoracic,Concomitant Pulmonary Hydatid Cyst and Aspergilloma: A Rare Co-infection,"Zareshahrabadi Z, Sarkari B, Shamsolvaezin N, Ziaian B, Tootoonchi A, Shahriarirad R, Erfani A",Case Reports in Infectious Diseases,https://www.hindawi.com/journals/criid/2020/6650478/,Thoracic surgery;Case report;Hydatid disease,thoracic,
183,2020,Sep,case,,thoracic;oncology;pulm,Intrapulmonary Mature Cystic Teratoma of the Lung: Case Report of a Rare Entity,"Mardani P, Naseri R, Amirian A, Shahriarirad R, Anbardar MH, Fouladi D*, Ranjbar K",BMC Surgery,https://link.springer.com/article/10.1186/s12893-020-00864-y,Thoracic surgery;Surgical oncology;Pulmonology;Case report;Lung cancer,thoracic;oncology,
184,2020,Jun,case,,vascular,Internal Jugular Vein Injury by Fishbone Ingestion,"Amirian A, Ghoddusi Johari H, Karoobi M*, Shahriarirad R, Ranjbar K",Case Reports in Surgery,https://www.hindawi.com/journals/crim/2020/9182379/,Vascular surgery;Case report,vascular,
185,2020,May,case,corresponding;last,vascular,Median Arcuate Ligament Syndrome Presenting as Splenic Infarction,"Ghoddusi Johari H, Eskandari S, Parvizi H, Farshadi M, Shahriarirad R*",The American Surgeon,https://www.proquest.com/openview/0ca25f5b658eb95b52ea7b277c643f98/1,Vascular surgery;Case report,vascular,
186,2020,Apr,case,corresponding;co-first,plastic;vascular,High Flow Scalp Arteriovenous Malformation: A Case Report,"Ghoddusi Johari H, Shahriarirad R*, Erfani A, Darabi MH",World Journal of Plastic Surgery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7482528/,Plastic surgery;Vascular surgery;Case report,plastic;vascular,
187,2020,Mar,case,,thoracic,Successful Management of a Huge Pulmonary Hydatid Cyst with Lung-Preserving Surgery,"Amirian A, Ziaian B, Erfani A*, Shahriarirad R, Ranjbar K",Case Reports in Surgery,https://www.hindawi.com/journals/cris/2020/9526406/,Thoracic surgery;Case report;Lung cancer;Hydatid disease,thoracic,
188,2020,Mar,case,corresponding;last,vascular,Massive Hemoptysis following Cannulation of Right Internal Jugular Vein for Insertion of Cuffed Hemodialysis Catheter: A Rare Complication of Central Venous Catheterization,"Ghoddusi Johari H, Lashkarizadeh MM, Mardani P, Shahriarirad R*",The Journal of Vascular Access,https://journals.sagepub.com/doi/full/10.1177/1129729820910304,Vascular surgery;Case report,vascular,
189,2020,Mar,case,corresponding,plastic;ortho;oncology,Masson's Tumor of the Hand: An Uncommon Histopathological Entity,"Mardani P, Askari A, Shahriarirad R*, Ranjbar K, Erfani A, Anbardar MH, Moradmand S",Case Reports in Pathology,https://www.hindawi.com/journals/cripa/2020/4348629/,Plastic surgery;Orthopaedic surgery;Surgical oncology;Case report,plastic;ortho,
190,2020,Feb,case,corresponding;co-first,thoracic,Misplacement of Tracheostomy Tube in Right Main Bronchus: A Rare Complication,"Amirian A, Shahriarirad R*, Ziaian B, Mardani P, Erfani A",Case Reports in Surgery,https://www.hindawi.com/journals/cris/2020/3597901/,Thoracic surgery;Case report,thoracic,
191,2020,Oct,letter,first,infectious;pulm,TB and the COVID-19 Pandemic: Brothers in Arms against Lung Health,"Shahriarirad R, Fallahi MJ*",The International Journal of Tuberculosis and Lung Disease,https://pubmed.ncbi.nlm.nih.gov/33126954/,Infectious disease;Pulmonology;Letter;Lung cancer;COVID-19;Tuberculosis,infectious;pulm,
192,2020,Aug,letter,first,infectious,COVID-19: Clinical or Laboratory Diagnosis? A Matter of Debate,"Shahriarirad R, Sarkari B*",Tropical Doctor,https://journals.sagepub.com/doi/full/10.1177/0049475520945446,Infectious disease;Letter;COVID-19,infectious,
193,2026,Jun,review,,psych,Current Evidence of Acetyl-L-Carnitine Use in Mood Disorders: A Systematic Review and Meta-Analysis,"Kumar R*, Hashempour Z, Shahriarirad S, Shahriarirad R, Hassett LC, Singh B, Croarkin PE, Veldic M, Frye MA, Pagali SR",Neuropsychiatric Disease and Treatment,https://doi.org/10.2147/NDT.S586506,Psychiatry;Mood disorders;Acetyl-L-Carnitine;Systematic review;Meta-analysis,psych,
194,2026,,original,,plastic;ortho,Nerve Transfers to Rebalance the Spastic Wrist: An Anatomical Feasibility Study,"Wu KY*, Stephens T, Shahriarirad R, Rhee PC",Journal of Hand Surgery,https://www.sciencedirect.com/science/article/pii/S0363502326005149,Plastic surgery;Hand surgery;Nerve transfer;Peripheral nerve;Spasticity;Anatomical study,plastic,
195,2024,Dec,case,last,thoracic;oncology,Epithelioid hemangioendothelioma prognosis and outcome: report of two challenging cases,"Mardani P, Hashempour Z*, Shahriarirad R",Journal of Cardiothoracic Surgery,,Thoracic surgery;Surgical oncology;Epithelioid hemangioendothelioma;Case report;Prognosis,,
